shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
755a30be-1797-4f74-ba78-69fc667510c4,26.8980400,127.9843700,52,26078.1898766
755a30be-1797-4f74-ba78-69fc667510c4,26.9018300,127.9818400,53,26567.5969179
755a30be-1797-4f74-ba78-69fc667510c4,26.9107800,127.9745000,54,27798.4754191
755a30be-1797-4f74-ba78-69fc667510c4,26.9126600,127.9724800,55,28087.7039323
755a30be-1797-4f74-ba78-69fc667510c4,26.9169900,127.9678700,56,28750.9259669
755a30be-1797-4f74-ba78-69fc667510c4,26.9182600,127.9662500,57,28964.6870252
755a30be-1797-4f74-ba78-69fc667510c4,26.9194900,127.9646800,58,29171.7907199
755a30be-1797-4f74-ba78-69fc667510c4,26.9209000,127.9628900,59,29408.4719479
755a30be-1797-4f74-ba78-69fc667510c4,26.9215300,127.9611300,60,29596.7042481
755a30be-1797-4f74-ba78-69fc667510c4,26.9219500,127.9585400,61,29858.1275880
755a30be-1797-4f74-ba78-69fc667510c4,26.9225600,127.9566000,62,30062.3248038
755a30be-1797-4f74-ba78-69fc667510c4,26.9235600,127.9551200,63,30246.4043891
755a30be-1797-4f74-ba78-69fc667510c4,26.9246700,127.9534400,64,30453.6939035
755a30be-1797-4f74-ba78-69fc667510c4,26.9249600,127.9532800,65,30489.5414054
755a30be-1797-4f74-ba78-69fc667510c4,26.9251400,127.9532100,66,30510.6628733
755a30be-1797-4f74-ba78-69fc667510c4,26.9255200,127.9531300,67,30553.5109180
755a30be-1797-4f74-ba78-69fc667510c4,26.9264500,127.9530900,68,30656.6336640
755a30be-1797-4f74-ba78-69fc667510c4,26.9268100,127.9530900,69,30696.5225162
755a30be-1797-4f74-ba78-69fc667510c4,26.9271900,127.9530700,70,30738.6742474
755a30be-1797-4f74-ba78-69fc667510c4,26.9278400,127.9530600,71,30810.7026428
755a30be-1797-4f74-ba78-69fc667510c4,26.9279400,127.9530400,72,30821.9595218
755a30be-1797-4f74-ba78-69fc667510c4,26.9281300,127.9529800,73,30843.8391115
755a30be-1797-4f74-ba78-69fc667510c4,26.9281800,127.9529600,74,30849.7245632
755a30be-1797-4f74-ba78-69fc667510c4,26.9282100,127.9529400,75,30853.5969097
755a30be-1797-4f74-ba78-69fc667510c4,26.9282700,127.9529000,76,30861.3416019
755a30be-1797-4f74-ba78-69fc667510c4,26.9283300,127.9528400,77,30870.2695511
755a30be-1797-4f74-ba78-69fc667510c4,26.9283800,127.9527600,78,30879.9557566
755a30be-1797-4f74-ba78-69fc667510c4,26.9284300,127.9526800,79,30889.6419593
755a30be-1797-4f74-ba78-69fc667510c4,26.9284500,127.9525600,80,30901.7643506
755a30be-1797-4f74-ba78-69fc667510c4,26.9284700,127.9523600,81,30921.7511081
755a30be-1797-4f74-ba78-69fc667510c4,26.9284900,127.9522200,82,30935.8310584
755a30be-1797-4f74-ba78-69fc667510c4,26.9285700,127.9517400,83,30984.3215639
987b6684-addf-41df-a797-1683428a06a1,26.9285700,127.9517400,1,0.0000000
987b6684-addf-41df-a797-1683428a06a1,26.9284800,127.9522300,2,49.6777926
987b6684-addf-41df-a797-1683428a06a1,26.9284700,127.9523800,3,64.6165820
987b6684-addf-41df-a797-1683428a06a1,26.9284400,127.9525700,4,83.7774674
987b6684-addf-41df-a797-1683428a06a1,26.9284000,127.9527100,5,98.3712267
987b6684-addf-41df-a797-1683428a06a1,26.9283900,127.9527700,6,104.4324247
987b6684-addf-41df-a797-1683428a06a1,26.9283400,127.9528300,7,112.5689687
987b6684-addf-41df-a797-1683428a06a1,26.9282900,127.9529000,8,121.4586593
987b6684-addf-41df-a797-1683428a06a1,26.9282400,127.9529300,9,127.7491718
987b6684-addf-41df-a797-1683428a06a1,26.9280600,127.9530100,10,149.2179907
987b6684-addf-41df-a797-1683428a06a1,26.9278900,127.9530500,11,168.4687753
987b6684-addf-41df-a797-1683428a06a1,26.9277400,127.9530600,12,185.1187815
987b6684-addf-41df-a797-1683428a06a1,26.9272500,127.9530700,13,239.4210314
987b6684-addf-41df-a797-1683428a06a1,26.9270000,127.9530800,14,267.1394245
987b6684-addf-41df-a797-1683428a06a1,26.9267800,127.9530900,15,291.5361709
987b6684-addf-41df-a797-1683428a06a1,26.9255100,127.9531200,16,432.2867088
987b6684-addf-41df-a797-1683428a06a1,26.9251000,127.9532300,17,479.0109157
987b6684-addf-41df-a797-1683428a06a1,26.9249500,127.9532900,18,496.6673193
987b6684-addf-41df-a797-1683428a06a1,26.9246800,127.9534400,19,530.0882540
987b6684-addf-41df-a797-1683428a06a1,26.9238200,127.9547000,20,687.3823042
987b6684-addf-41df-a797-1683428a06a1,26.9225300,127.9566500,21,928.0931846
987b6684-addf-41df-a797-1683428a06a1,26.9219500,127.9585700,22,1129.3309419
987b6684-addf-41df-a797-1683428a06a1,26.9215200,127.9610800,23,1383.1449268
987b6684-addf-41df-a797-1683428a06a1,26.9209200,127.9628600,24,1572.0280366
987b6684-addf-41df-a797-1683428a06a1,26.9189700,127.9653400,25,1899.6870431
987b6684-addf-41df-a797-1683428a06a1,26.9170400,127.9678000,26,2224.3946447
987b6684-addf-41df-a797-1683428a06a1,26.9160500,127.9688800,27,2377.8240749
987b6684-addf-41df-a797-1683428a06a1,26.9132800,127.9718200,28,2801.4775436
987b6684-addf-41df-a797-1683428a06a1,26.9106800,127.9746000,29,3200.5368144
