shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3881300,123.7775600,22,3619.0956891
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3877300,123.7814200,23,4013.1697577
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3884300,123.7834200,24,4230.3688071
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3889300,123.7836900,25,4292.1536083
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3893200,123.7835600,26,4337.3196757
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3898500,123.7827100,27,4441.6331212
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3913900,123.7813400,28,4661.6572523
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3930100,123.7812600,29,4841.2782175
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3944700,123.7828600,30,5070.3946482
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3962300,123.7832600,31,5269.5171017
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3977100,123.7823800,32,5456.1758037
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.3999900,123.7811100,33,5739.6769453
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.4020000,123.7786400,34,6074.8454986
19f96f0f-ff11-464a-ae71-7c4d9f57ce95,24.4029800,123.7789100,35,6186.7958412
4641ecbe-15d4-4f5f-8778-17af74538a43,24.4029800,123.7789100,1,0.0000000
4641ecbe-15d4-4f5f-8778-17af74538a43,24.4016500,123.7790800,2,148.3219701
4641ecbe-15d4-4f5f-8778-17af74538a43,24.4000000,123.7811100,3,423.6416550
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3989000,123.7816900,4,558.9425984
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3978600,123.7822700,5,688.2913625
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3962700,123.7832400,6,890.0282888
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3957700,123.7831300,7,946.5231505
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3944700,123.7828600,8,1093.0978891
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3937000,123.7819900,9,1215.8275388
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3929100,123.7810300,10,1346.7482128
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3918600,123.7811100,11,1463.3331173
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3908800,123.7816900,12,1586.8017395
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3900200,123.7824900,13,1711.9410537
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3893600,123.7835800,14,1844.4951390
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3889800,123.7836600,15,1887.3606489
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3884300,123.7834300,16,1952.5959746
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3882500,123.7829900,17,2001.4817941
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3877400,123.7814500,18,2167.6056010
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3881700,123.7776800,19,2553.0053821
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3880000,123.7771900,20,2606.1600640
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3876900,123.7769300,21,2649.4577109
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3858300,123.7765900,22,2858.3457278
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3850700,123.7767000,23,2943.2626440
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3836100,123.7778300,24,3141.4874586
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3827500,123.7786800,25,3269.9773525
4641ecbe-15d4-4f5f-8778-17af74538a43,24.3805800,123.7810200,26,3607.8034537
